,timestamp,open,high,low,close,volume
0,2018-12-07 16:00:00,323.01,323.585,322.82,323.22,187041
1,2018-12-07 15:55:00,322.17,323.04,322.17,322.94,106196
2,2018-12-07 15:50:00,323.01,323.01,322.16,322.16,94488
3,2018-12-07 15:45:00,323.0,323.56,322.71,323.17,63062
4,2018-12-07 15:40:00,324.0,324.65,323.216,323.216,100154
5,2018-12-07 15:35:00,323.2734,324.25,322.7,324.25,52368
6,2018-12-07 15:30:00,322.25,323.82,321.8,323.36,70241
7,2018-12-07 15:25:00,322.27,322.62,322.02,322.26,39161
8,2018-12-07 15:20:00,321.865,322.61,321.39,322.26,66051
9,2018-12-07 15:15:00,322.98,323.44,322.0,322.14,55069
10,2018-12-07 15:10:00,321.59,322.98,321.51,322.98,56898
11,2018-12-07 15:05:00,322.83,323.15,321.39,321.59,58147
12,2018-12-07 15:00:00,322.77,323.02,322.3038,322.8265,38551
13,2018-12-07 14:55:00,323.52,324.27,322.7,322.735,43455
14,2018-12-07 14:50:00,322.63,323.93,322.0,323.445,46239
15,2018-12-07 14:45:00,323.32,323.33,322.53,322.575,51252
16,2018-12-07 14:40:00,324.07,324.229,323.17,323.28,49538
17,2018-12-07 14:35:00,324.25,324.45,323.6,324.12,48424
18,2018-12-07 14:30:00,324.2253,324.73,323.87,324.31,56129
19,2018-12-07 14:25:00,325.19,325.56,324.13,324.15,30692
20,2018-12-07 14:20:00,323.48,325.21,323.44,325.21,48938
21,2018-12-07 14:15:00,323.91,323.92,323.2244,323.39,33024
22,2018-12-07 14:10:00,323.7554,324.3422,323.34,323.9,38200
23,2018-12-07 14:05:00,323.87,324.1099,323.7,323.8131,26146
24,2018-12-07 14:00:00,324.6277,324.6277,323.91,324.0632,43220
25,2018-12-07 13:55:00,324.67,324.7,324.36,324.7,22712
26,2018-12-07 13:50:00,325.48,325.755,324.73,324.73,20697
27,2018-12-07 13:45:00,325.175,325.5044,325.13,325.38,19186
28,2018-12-07 13:40:00,325.74,325.9697,325.16,325.34,20038
29,2018-12-07 13:35:00,326.62,326.64,325.76,325.79,22464
30,2018-12-07 13:30:00,326.96,327.064,326.31,326.79,22216
31,2018-12-07 13:25:00,325.44,327.29,325.44,327.1,35108
32,2018-12-07 13:20:00,325.8,326.01,325.26,325.26,23934
33,2018-12-07 13:15:00,326.1,326.63,325.64,325.64,26639
34,2018-12-07 13:10:00,327.46,327.46,326.15,326.15,17819
35,2018-12-07 13:05:00,326.4028,328.0,326.2837,327.63,38677
36,2018-12-07 13:00:00,326.295,326.89,325.98,326.6092,39202
37,2018-12-07 12:55:00,323.94,325.9294,323.94,325.9294,49940
38,2018-12-07 12:50:00,323.58,324.37,323.58,323.87,30955
39,2018-12-07 12:45:00,323.49,323.49,322.87,323.468,38341
40,2018-12-07 12:40:00,323.0899,323.35,322.9,323.14,33918
41,2018-12-07 12:35:00,323.48,323.84,322.97,323.14,45030
42,2018-12-07 12:30:00,324.18,324.18,323.38,323.62,22835
43,2018-12-07 12:25:00,323.0,324.22,323.0,324.22,22470
44,2018-12-07 12:20:00,324.08,324.4563,322.84,323.07,46107
45,2018-12-07 12:15:00,323.6,324.74,323.6,324.185,27674
46,2018-12-07 12:10:00,324.21,324.21,323.15,323.4257,26791
47,2018-12-07 12:05:00,323.15,324.26,323.15,324.21,29378
48,2018-12-07 12:00:00,323.75,323.96,323.19,323.21,31143
49,2018-12-07 11:55:00,325.25,325.29,323.9,323.945,37458
50,2018-12-07 11:50:00,325.73,326.26,325.3381,325.5769,35197
51,2018-12-07 11:45:00,324.59,325.732,324.04,325.732,40520
52,2018-12-07 11:40:00,324.85,325.01,324.335,324.335,39189
53,2018-12-07 11:35:00,324.1357,324.9538,323.9,324.55,52014
54,2018-12-07 11:30:00,323.7,324.47,323.19,324.29,72043
55,2018-12-07 11:25:00,325.49,325.49,323.63,323.94,63134
56,2018-12-07 11:20:00,325.36,325.85,324.82,325.58,44865
57,2018-12-07 11:15:00,326.02,326.62,325.0,325.23,37037
58,2018-12-07 11:10:00,326.42,326.51,325.326,325.78,65548
59,2018-12-07 11:05:00,327.07,327.75,326.61,326.61,102999
60,2018-12-07 11:00:00,326.44,327.6,326.4,327.36,43661
61,2018-12-07 10:55:00,327.3,327.31,326.4,326.48,61922
62,2018-12-07 10:50:00,327.21,328.1566,327.0,327.13,59751
63,2018-12-07 10:45:00,327.385,328.13,327.02,327.02,50844
64,2018-12-07 10:40:00,328.45,329.035,327.18,327.67,53653
65,2018-12-07 10:35:00,329.25,329.99,328.65,328.65,46844
66,2018-12-07 10:30:00,328.11,329.35,327.645,329.35,95275
67,2018-12-07 10:25:00,329.17,329.47,328.2526,328.285,45306
68,2018-12-07 10:20:00,330.35,330.35,328.6301,328.93,92017
69,2018-12-07 10:15:00,331.41,331.525,330.3889,330.5,53584
70,2018-12-07 10:10:00,332.83,332.83,331.4,331.4,47616
71,2018-12-07 10:05:00,333.1277,333.43,332.95,333.23,51022
72,2018-12-07 10:00:00,334.23,334.72,332.99,333.09,42030
73,2018-12-07 09:55:00,333.56,333.9,332.62,333.9,46876
74,2018-12-07 09:50:00,336.14,336.35,333.74,333.74,61699
75,2018-12-07 09:45:00,334.6847,337.418,334.5,336.07,139229
76,2018-12-07 09:40:00,333.78,334.7687,332.9254,334.7687,80455
77,2018-12-07 09:35:00,331.96,334.22,330.0007,333.635,142405
78,2018-12-06 16:00:00,331.305,331.76,330.82,331.76,303955
79,2018-12-06 15:55:00,330.8454,331.65,330.8454,331.21,193867
80,2018-12-06 15:50:00,330.78,331.16,330.41,331.01,130178
81,2018-12-06 15:45:00,330.1,330.5,329.61,330.5,100464
82,2018-12-06 15:40:00,329.39,330.4,329.12,330.25,80864
83,2018-12-06 15:35:00,328.29,330.1,328.29,329.52,79585
84,2018-12-06 15:30:00,327.72,328.46,327.69,328.175,53768
85,2018-12-06 15:25:00,328.11,328.18,327.45,327.71,59083
86,2018-12-06 15:20:00,328.35,328.52,327.82,328.32,62046
87,2018-12-06 15:15:00,328.8,329.16,328.35,328.35,66987
88,2018-12-06 15:10:00,329.01,329.26,328.5,329.0,37202
89,2018-12-06 15:05:00,327.44,330.13,327.42,329.14,107263
90,2018-12-06 15:00:00,327.81,328.14,327.1714,327.4972,53472
91,2018-12-06 14:55:00,326.94,328.092,326.91,327.67,93439
92,2018-12-06 14:50:00,327.825,328.16,326.66,327.05,70190
93,2018-12-06 14:45:00,328.348,328.93,327.74,327.76,57594
94,2018-12-06 14:40:00,329.26,329.52,328.16,328.482,89316
95,2018-12-06 14:35:00,329.51,329.92,328.87,329.18,60869
96,2018-12-06 14:30:00,328.36,329.7,328.0,329.7,69035
97,2018-12-06 14:25:00,329.53,330.31,328.03,328.12,95347
98,2018-12-06 14:20:00,330.48,331.0,329.1302,329.27,65401
99,2018-12-06 14:15:00,332.27,332.27,329.7202,330.4,87261
